val_sharpe,val_loss,train_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/hidden_dim,config/num_transformer_layers,config/num_attention_heads,config/dropout,config/lstm_num_layers,config/lstm_dropout,config/learning_rate,config/weight_decay,config/batch_size,config/weight_hidden_dim,config/weight_dropout,config/num_epochs
-0.8197912895360103,-1.233944399252811,-1.233944399252811,14,1764997657,,True,15,2025-12-06_00-07-37,328.72269582748413,4685.707010507584,57015,Rayyans-MacBook-Pro.local,127.0.0.1,4685.707010507584,15,"1_batch_size=64,dropout=0.3828,hidden_dim=32,learning_rate=0.0021,lstm_dropout=0.2976,lstm_num_layers=1,num_attention_heads=2,num_epochs=15,num_transformer_layers=1,weight_decay=0.0005,weight_dropout=0.2121,weight_hidden_dim=24",32,1,2,0.38275504885987754,1,0.2975542386428214,0.00210668404478117,0.0004952832171779452,64,24,0.2120535117945549,15
-0.41152853225488323,-1.2229598020095924,-1.2229598020095924,4,1764996758,,True,5,2025-12-05_23-52-38,693.7850160598755,3784.772403717041,57019,Rayyans-MacBook-Pro.local,127.0.0.1,3784.772403717041,5,"2_batch_size=128,dropout=0.2082,hidden_dim=64,learning_rate=0.0005,lstm_dropout=0.1038,lstm_num_layers=2,num_attention_heads=2,num_epochs=15,num_transformer_layers=2,weight_decay=0.0010,weight_dropout=0.2430,weight_hidden_dim=32",64,2,2,0.20820345023356632,2,0.10378184538173603,0.0005216066119437422,0.0009972092789904043,128,32,0.24302949943050645,15
-0.4277913528593913,-1.3280345465764198,-1.3280345465764198,4,1764996240,,True,5,2025-12-05_23-44-00,603.6941130161285,3265.2890315055847,57027,Rayyans-MacBook-Pro.local,127.0.0.1,3265.2890315055847,5,"3_batch_size=128,dropout=0.2615,hidden_dim=32,learning_rate=0.0009,lstm_dropout=0.1160,lstm_num_layers=1,num_attention_heads=4,num_epochs=15,num_transformer_layers=3,weight_decay=0.0001,weight_dropout=0.1598,weight_hidden_dim=48",32,3,4,0.2614728288655928,1,0.11597379036449194,0.0008831690059881049,0.0001212363933524173,128,48,0.15978674967582213,15
-0.35019225899279227,-1.541366979306351,-1.541366979306351,4,1764996079,,True,5,2025-12-05_23-41-19,565.7156908512115,3101.923734664917,57028,Rayyans-MacBook-Pro.local,127.0.0.1,3101.923734664917,5,"4_batch_size=128,dropout=0.1172,hidden_dim=64,learning_rate=0.0034,lstm_dropout=0.2481,lstm_num_layers=1,num_attention_heads=4,num_epochs=15,num_transformer_layers=1,weight_decay=0.0000,weight_dropout=0.1831,weight_hidden_dim=24",64,1,4,0.11715376292185223,1,0.24812562823823045,0.0034488969744944946,1.065919714324692e-05,128,24,0.1830662858114957,15
-0.36715429875003136,-1.532587390374436,-1.532587390374436,9,1765005119,,True,10,2025-12-06_02-11-59,842.8689110279083,9037.532581806183,59509,Rayyans-MacBook-Pro.local,127.0.0.1,9037.532581806183,10,"5_batch_size=128,dropout=0.2094,hidden_dim=64,learning_rate=0.0020,lstm_dropout=0.1769,lstm_num_layers=1,num_attention_heads=2,num_epochs=15,num_transformer_layers=3,weight_decay=0.0000,weight_dropout=0.2217,weight_hidden_dim=48",64,3,2,0.2093716139283942,1,0.1768714249589846,0.0019969018623120045,1.861686511437514e-05,128,48,0.221683907804801,15
-0.046979683119643,-1.1934762425441587,-1.1934762425441587,14,1765004826,,True,15,2025-12-06_02-07-06,570.9641559123993,8582.408668518066,59732,Rayyans-MacBook-Pro.local,127.0.0.1,8582.408668518066,15,"6_batch_size=128,dropout=0.2371,hidden_dim=64,learning_rate=0.0027,lstm_dropout=0.1109,lstm_num_layers=2,num_attention_heads=4,num_epochs=15,num_transformer_layers=1,weight_decay=0.0006,weight_dropout=0.2946,weight_hidden_dim=48",64,1,4,0.23714372545797985,2,0.11091554447065932,0.002690697764442766,0.0005988174485385435,128,48,0.29456574973419986,15
-0.4719325495272935,-1.3783391851440643,-1.3783391851440643,4,1765001913,,True,5,2025-12-06_01-18-33,950.8468570709229,5152.404445171356,60464,Rayyans-MacBook-Pro.local,127.0.0.1,5152.404445171356,5,"7_batch_size=128,dropout=0.2765,hidden_dim=64,learning_rate=0.0006,lstm_dropout=0.2945,lstm_num_layers=2,num_attention_heads=4,num_epochs=15,num_transformer_layers=3,weight_decay=0.0000,weight_dropout=0.1759,weight_hidden_dim=32",64,3,4,0.27650071402252674,2,0.2945037234208262,0.0006367914508500705,1.6378945910887102e-06,128,32,0.1759350881776146,15
-0.11177475176589291,-1.589970363050055,-1.589970363050055,9,1765005048,,True,10,2025-12-06_02-10-48,681.5633211135864,7387.436322212219,61567,Rayyans-MacBook-Pro.local,127.0.0.1,7387.436322212219,10,"8_batch_size=128,dropout=0.1134,hidden_dim=64,learning_rate=0.0003,lstm_dropout=0.2276,lstm_num_layers=1,num_attention_heads=2,num_epochs=15,num_transformer_layers=2,weight_decay=0.0001,weight_dropout=0.2289,weight_hidden_dim=32",64,2,2,0.11335575863954066,1,0.22755525769354557,0.0002627292111500857,5.3590955438213606e-05,128,32,0.2288603159195086,15
-0.4346915971405454,-1.6620513314245697,-1.6620513314245697,4,1765007009,,True,5,2025-12-06_02-43-29,987.0759601593018,5092.785048007965,67482,Rayyans-MacBook-Pro.local,127.0.0.1,5092.785048007965,5,"9_batch_size=128,dropout=0.1321,hidden_dim=64,learning_rate=0.0019,lstm_dropout=0.1276,lstm_num_layers=1,num_attention_heads=4,num_epochs=15,num_transformer_layers=3,weight_decay=0.0006,weight_dropout=0.1136,weight_hidden_dim=24",64,3,4,0.13211131077369653,1,0.12756400565092194,0.00194176563521747,0.00063649893204528,128,24,0.11363367898647009,15
-0.47522023394725865,-1.2444017215137992,-1.2444017215137992,4,1765010301,,True,5,2025-12-06_03-38-21,1080.875478029251,5472.111253023148,71662,Rayyans-MacBook-Pro.local,127.0.0.1,5472.111253023148,5,"10_batch_size=64,dropout=0.3356,hidden_dim=128,learning_rate=0.0003,lstm_dropout=0.1779,lstm_num_layers=1,num_attention_heads=2,num_epochs=15,num_transformer_layers=1,weight_decay=0.0002,weight_dropout=0.1756,weight_hidden_dim=32",128,1,2,0.3356472313038915,1,0.17793326943228144,0.00032145818012091444,0.00018198608305078722,64,32,0.17561406440981955,15
