val_sharpe,val_loss,train_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
-0.1840718682918097,0.8276984846424675,0.8276984846424675,0,1764847959,,False,1,0e1e8712,2025-12-04_06-32-39,217.0786030292511,217.0786030292511,88766,Rayyans-MacBook-Pro.local,127.0.0.1,217.0786030292511,1
-0.05524378590055875,0.914010995600457,0.914010995600457,1,1764848139,,False,2,0e1e8712,2025-12-04_06-35-39,180.2263810634613,397.3049840927124,88766,Rayyans-MacBook-Pro.local,127.0.0.1,397.3049840927124,2
-0.22443243610702587,-0.5710619196729029,-0.5710619196729029,2,1764848310,,False,3,0e1e8712,2025-12-04_06-38-30,171.2388858795166,568.543869972229,88766,Rayyans-MacBook-Pro.local,127.0.0.1,568.543869972229,3
-0.5518351410045677,-1.0410346703567417,-1.0410346703567417,3,1764848486,,False,4,0e1e8712,2025-12-04_06-41-26,175.87046790122986,744.4143378734589,88766,Rayyans-MacBook-Pro.local,127.0.0.1,744.4143378734589,4
0.044723313452042515,-1.2864196378293846,-1.2864196378293846,4,1764848660,,False,5,0e1e8712,2025-12-04_06-44-20,173.60647320747375,918.0208110809326,88766,Rayyans-MacBook-Pro.local,127.0.0.1,918.0208110809326,5
-0.11438518080027696,-1.2298254702790774,-1.2298254702790774,5,1764848829,,False,6,0e1e8712,2025-12-04_06-47-09,168.8197672367096,1086.8405783176422,88766,Rayyans-MacBook-Pro.local,127.0.0.1,1086.8405783176422,6
-0.23908777331807002,-1.1505270998207535,-1.1505270998207535,6,1764849003,,False,7,0e1e8712,2025-12-04_06-50-03,174.3629879951477,1261.20356631279,88766,Rayyans-MacBook-Pro.local,127.0.0.1,1261.20356631279,7
-0.20802615389730011,-1.426232525052543,-1.426232525052543,7,1764849179,,False,8,0e1e8712,2025-12-04_06-52-59,176.3435251712799,1437.5470914840698,88766,Rayyans-MacBook-Pro.local,127.0.0.1,1437.5470914840698,8
-0.36443836034121796,-1.3314640189853835,-1.3314640189853835,8,1764849358,,False,9,0e1e8712,2025-12-04_06-55-58,178.49402475357056,1616.0411162376404,88766,Rayyans-MacBook-Pro.local,127.0.0.1,1616.0411162376404,9
-0.35157791377013575,-1.1957159537989137,-1.1957159537989137,9,1764849538,,True,10,0e1e8712,2025-12-04_06-58-58,179.6860830783844,1795.7271993160248,88766,Rayyans-MacBook-Pro.local,127.0.0.1,1795.7271993160248,10
