val_sharpe,val_loss,train_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
-0.5636623670636046,-1.3250137737270085,-1.3250137737270085,0,1765010808,,False,1,7fa9e243,2025-12-06_03-46-48,503.7976019382477,503.7976019382477,82011,Rayyans-MacBook-Pro.local,127.0.0.1,503.7976019382477,1
-0.5918534868913963,-1.2574887230562195,-1.2574887230562195,1,1765011141,,False,2,7fa9e243,2025-12-06_03-52-21,333.4497628211975,837.2473647594452,82011,Rayyans-MacBook-Pro.local,127.0.0.1,837.2473647594452,2
-0.20922420225136187,-1.4922194145736056,-1.4922194145736056,2,1765011475,,False,3,7fa9e243,2025-12-06_03-57-55,333.93285298347473,1171.18021774292,82011,Rayyans-MacBook-Pro.local,127.0.0.1,1171.18021774292,3
-0.023594791881232913,-1.4744526130176667,-1.4744526130176667,3,1765011812,,False,4,7fa9e243,2025-12-06_04-03-32,336.4721508026123,1507.6523685455322,82011,Rayyans-MacBook-Pro.local,127.0.0.1,1507.6523685455322,4
-0.14140074114358656,-1.622971403425552,-1.622971403425552,4,1765012140,,False,5,7fa9e243,2025-12-06_04-09-00,328.66633892059326,1836.3187074661255,82011,Rayyans-MacBook-Pro.local,127.0.0.1,1836.3187074661255,5
-0.3904945947592416,-1.6934628402529952,-1.6934628402529952,5,1765012468,,False,6,7fa9e243,2025-12-06_04-14-28,327.673819065094,2163.9925265312195,82011,Rayyans-MacBook-Pro.local,127.0.0.1,2163.9925265312195,6
-0.29140193580810186,-1.800355639888854,-1.800355639888854,6,1765012810,,False,7,7fa9e243,2025-12-06_04-20-10,341.75063705444336,2505.743163585663,82011,Rayyans-MacBook-Pro.local,127.0.0.1,2505.743163585663,7
-0.18366138304754792,-2.0641290959599794,-2.0641290959599794,7,1765013149,,False,8,7fa9e243,2025-12-06_04-25-49,339.2977089881897,2845.0408725738525,82011,Rayyans-MacBook-Pro.local,127.0.0.1,2845.0408725738525,8
-0.3282465626092125,-1.9991272117996792,-1.9991272117996792,8,1765013491,,False,9,7fa9e243,2025-12-06_04-31-31,341.57879614830017,3186.6196687221527,82011,Rayyans-MacBook-Pro.local,127.0.0.1,3186.6196687221527,9
-0.1512828429467975,-2.166473740615737,-2.166473740615737,9,1765013832,,True,10,7fa9e243,2025-12-06_04-37-12,341.01621294021606,3527.635881662369,82011,Rayyans-MacBook-Pro.local,127.0.0.1,3527.635881662369,10
