val_sharpe,val_loss,train_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
-0.24849947387908083,-1.0559219229057852,-1.0559219229057852,0,1764998568,,False,1,5acdd094,2025-12-06_00-22-48,907.8007678985596,907.8007678985596,61567,Rayyans-MacBook-Pro.local,127.0.0.1,907.8007678985596,1
-0.4951681509761896,-1.3425002977505607,-1.3425002977505607,1,1764999282,,False,2,5acdd094,2025-12-06_00-34-42,713.5533909797668,1621.3541588783264,61567,Rayyans-MacBook-Pro.local,127.0.0.1,1621.3541588783264,2
-0.5080005679417086,-1.3801228321681265,-1.3801228321681265,2,1765000004,,False,3,5acdd094,2025-12-06_00-46-44,722.3163850307465,2343.670543909073,61567,Rayyans-MacBook-Pro.local,127.0.0.1,2343.670543909073,3
-0.27883194330862104,-1.3597237346285782,-1.3597237346285782,3,1765000768,,False,4,5acdd094,2025-12-06_00-59-28,764.3120918273926,3107.9826357364655,61567,Rayyans-MacBook-Pro.local,127.0.0.1,3107.9826357364655,4
-0.11526827633834008,-1.567551246197116,-1.567551246197116,4,1765001478,,False,5,5acdd094,2025-12-06_01-11-18,709.8762810230255,3817.858916759491,61567,Rayyans-MacBook-Pro.local,127.0.0.1,3817.858916759491,5
-0.25957446354695723,-1.2103080668440016,-1.2103080668440016,5,1765002180,,False,6,5acdd094,2025-12-06_01-23-00,701.6413953304291,4519.50031208992,61567,Rayyans-MacBook-Pro.local,127.0.0.1,4519.50031208992,6
-0.39058875105699903,-1.4534181022410995,-1.4534181022410995,6,1765002907,,False,7,5acdd094,2025-12-06_01-35-07,727.6711869239807,5247.171499013901,61567,Rayyans-MacBook-Pro.local,127.0.0.1,5247.171499013901,7
-0.07970084350234849,-1.3991307752988125,-1.3991307752988125,7,1765003637,,False,8,5acdd094,2025-12-06_01-47-17,729.7145729064941,5976.886071920395,61567,Rayyans-MacBook-Pro.local,127.0.0.1,5976.886071920395,8
-0.033521273893252226,-1.7021242162549404,-1.7021242162549404,8,1765004366,,False,9,5acdd094,2025-12-06_01-59-26,728.9869291782379,6705.873001098633,61567,Rayyans-MacBook-Pro.local,127.0.0.1,6705.873001098633,9
-0.11177475176589291,-1.589970363050055,-1.589970363050055,9,1765005048,,True,10,5acdd094,2025-12-06_02-10-48,681.5633211135864,7387.436322212219,61567,Rayyans-MacBook-Pro.local,127.0.0.1,7387.436322212219,10
