val_sharpe,val_loss,train_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
-0.33943707481164515,-1.0507770389965583,-1.0507770389965583,0,1765016044,,False,1,cfbc2c27,2025-12-06_05-14-04,1440.1734008789062,1440.1734008789062,91161,Rayyans-MacBook-Pro.local,127.0.0.1,1440.1734008789062,1
-0.44982852570763854,-1.2507706631039865,-1.2507706631039865,1,1765017284,,False,2,cfbc2c27,2025-12-06_05-34-44,1239.2434089183807,2679.416809797287,91161,Rayyans-MacBook-Pro.local,127.0.0.1,2679.416809797287,2
-0.4419790410892467,-1.5493867031443596,-1.5493867031443596,2,1765018554,,False,3,cfbc2c27,2025-12-06_05-55-54,1269.9502561092377,3949.3670659065247,91161,Rayyans-MacBook-Pro.local,127.0.0.1,3949.3670659065247,3
-0.3500260731272504,-1.5957483249324402,-1.5957483249324402,3,1765019806,,False,4,cfbc2c27,2025-12-06_06-16-46,1252.9566011428833,5202.323667049408,91161,Rayyans-MacBook-Pro.local,127.0.0.1,5202.323667049408,4
-0.3492950219030852,-1.4681357429790964,-1.4681357429790964,4,1765020985,,True,5,cfbc2c27,2025-12-06_06-36-25,1178.4302711486816,6380.75393819809,91161,Rayyans-MacBook-Pro.local,127.0.0.1,6380.75393819809,5
