val_sharpe,val_loss,train_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
-0.35210946228493717,0.7227251872385817,0.7227251872385817,0,1764833778,,False,1,7441aec5,2025-12-04_02-36-18,188.55283403396606,188.55283403396606,54392,Rayyans-MacBook-Pro.local,127.0.0.1,188.55283403396606,1
-0.8019604044342341,-0.8583737434397755,-0.8583737434397755,1,1764833927,,False,2,7441aec5,2025-12-04_02-38-47,148.7719690799713,337.3248031139374,54392,Rayyans-MacBook-Pro.local,127.0.0.1,337.3248031139374,2
-0.8102428269525068,-1.1234155571310487,-1.1234155571310487,2,1764834073,,False,3,7441aec5,2025-12-04_02-41-13,145.87479400634766,483.19959712028503,54392,Rayyans-MacBook-Pro.local,127.0.0.1,483.19959712028503,3
-1.011002450463396,-1.006455886066573,-1.006455886066573,3,1764834221,,False,4,7441aec5,2025-12-04_02-43-41,148.48480582237244,631.6844029426575,54392,Rayyans-MacBook-Pro.local,127.0.0.1,631.6844029426575,4
-0.382950719754994,-0.890491300810573,-0.890491300810573,4,1764834370,,False,5,7441aec5,2025-12-04_02-46-10,149.08036279678345,780.7647657394409,54392,Rayyans-MacBook-Pro.local,127.0.0.1,780.7647657394409,5
-0.7155191288591944,-1.027628840625654,-1.027628840625654,5,1764834518,,False,6,7441aec5,2025-12-04_02-48-38,148.1310679912567,928.8958337306976,54392,Rayyans-MacBook-Pro.local,127.0.0.1,928.8958337306976,6
-0.7831159630010597,-1.0523105408160836,-1.0523105408160836,6,1764834667,,False,7,7441aec5,2025-12-04_02-51-07,148.21703600883484,1077.1128697395325,54392,Rayyans-MacBook-Pro.local,127.0.0.1,1077.1128697395325,7
-0.685063694926179,-1.1517180183388813,-1.1517180183388813,7,1764834811,,False,8,7441aec5,2025-12-04_02-53-31,144.71607208251953,1221.828941822052,54392,Rayyans-MacBook-Pro.local,127.0.0.1,1221.828941822052,8
-0.3663858385044879,-1.2849331607298595,-1.2849331607298595,8,1764834957,,False,9,7441aec5,2025-12-04_02-55-57,145.44313669204712,1367.2720785140991,54392,Rayyans-MacBook-Pro.local,127.0.0.1,1367.2720785140991,9
-0.5829639735363521,-1.6259479979743008,-1.6259479979743008,9,1764835106,,False,10,7441aec5,2025-12-04_02-58-26,148.8596110343933,1516.1316895484924,54392,Rayyans-MacBook-Pro.local,127.0.0.1,1516.1316895484924,10
-0.34581851789215573,-1.618841123150148,-1.618841123150148,10,1764835261,,False,11,7441aec5,2025-12-04_03-01-01,155.4026219844818,1671.5343115329742,54392,Rayyans-MacBook-Pro.local,127.0.0.1,1671.5343115329742,11
-0.4842902738962723,-1.3164550572793157,-1.3164550572793157,11,1764835416,,False,12,7441aec5,2025-12-04_03-03-36,154.69963216781616,1826.2339437007904,54392,Rayyans-MacBook-Pro.local,127.0.0.1,1826.2339437007904,12
0.4765752517138703,-1.6763197388729931,-1.6763197388729931,12,1764835574,,False,13,7441aec5,2025-12-04_03-06-14,158.25995087623596,1984.4938945770264,54392,Rayyans-MacBook-Pro.local,127.0.0.1,1984.4938945770264,13
0.2171001954889685,-1.6508828462273986,-1.6508828462273986,13,1764835735,,False,14,7441aec5,2025-12-04_03-08-55,160.6040608882904,2145.0979554653168,54392,Rayyans-MacBook-Pro.local,127.0.0.1,2145.0979554653168,14
0.6213267619969194,-2.080668164654769,-2.080668164654769,14,1764835894,,True,15,7441aec5,2025-12-04_03-11-34,158.97239327430725,2304.070348739624,54392,Rayyans-MacBook-Pro.local,127.0.0.1,2304.070348739624,15
