val_sharpe,val_loss,train_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
-0.49311152393544233,-1.287670907710903,-1.287670907710903,0,1765006105,,False,1,bfd0da73,2025-12-06_02-28-25,982.5164039134979,982.5164039134979,72166,Rayyans-MacBook-Pro.local,127.0.0.1,982.5164039134979,1
-0.27969378125176736,-1.2783197476359087,-1.2783197476359087,1,1765006880,,False,2,bfd0da73,2025-12-06_02-41-20,775.16717004776,1757.683573961258,72166,Rayyans-MacBook-Pro.local,127.0.0.1,1757.683573961258,2
-0.11273930155500637,-1.2516353876510846,-1.2516353876510846,2,1765007623,,False,3,bfd0da73,2025-12-06_02-53-43,743.0083839893341,2500.691957950592,72166,Rayyans-MacBook-Pro.local,127.0.0.1,2500.691957950592,3
-0.1823477940519496,-1.156701373789321,-1.156701373789321,3,1765008409,,False,4,bfd0da73,2025-12-06_03-06-49,786.6000850200653,3287.2920429706573,72166,Rayyans-MacBook-Pro.local,127.0.0.1,3287.2920429706573,4
-0.046979683119643,-1.2209969270376602,-1.2209969270376602,4,1765009183,,False,5,bfd0da73,2025-12-06_03-19-43,773.7613389492035,4061.053381919861,72166,Rayyans-MacBook-Pro.local,127.0.0.1,4061.053381919861,5
-0.4536766211690638,-1.087459643378511,-1.087459643378511,5,1765009954,,False,6,bfd0da73,2025-12-06_03-32-34,771.3769121170044,4832.430294036865,72166,Rayyans-MacBook-Pro.local,127.0.0.1,4832.430294036865,6
-0.046979683119643,-1.2268513445799838,-1.2268513445799838,6,1765010700,,False,7,bfd0da73,2025-12-06_03-45-00,745.9618592262268,5578.392153263092,72166,Rayyans-MacBook-Pro.local,127.0.0.1,5578.392153263092,7
-0.046979683119643,-1.2579757498970907,-1.2579757498970907,7,1765011400,,False,8,bfd0da73,2025-12-06_03-56-40,699.10431599617,6277.496469259262,72166,Rayyans-MacBook-Pro.local,127.0.0.1,6277.496469259262,8
-0.046979683119643,-1.2177508653987221,-1.2177508653987221,8,1765012113,,False,9,bfd0da73,2025-12-06_04-08-33,713.9150681495667,6991.411537408829,72166,Rayyans-MacBook-Pro.local,127.0.0.1,6991.411537408829,9
-0.046979683119643,-1.1735838453948804,-1.1735838453948804,9,1765012834,,False,10,bfd0da73,2025-12-06_04-20-34,720.0232486724854,7711.434786081314,72166,Rayyans-MacBook-Pro.local,127.0.0.1,7711.434786081314,10
-0.046979683119643,-1.2783743939116423,-1.2783743939116423,10,1765013531,,False,11,bfd0da73,2025-12-06_04-32-11,697.581503868103,8409.016289949417,72166,Rayyans-MacBook-Pro.local,127.0.0.1,8409.016289949417,11
-0.046979683119643,-1.1971237861779163,-1.1971237861779163,11,1765014244,,False,12,bfd0da73,2025-12-06_04-44-04,712.3961379528046,9121.412427902222,72166,Rayyans-MacBook-Pro.local,127.0.0.1,9121.412427902222,12
-0.046979683119643,-1.1679277930071088,-1.1679277930071088,12,1765014971,,False,13,bfd0da73,2025-12-06_04-56-11,727.254154920578,9848.6665828228,72166,Rayyans-MacBook-Pro.local,127.0.0.1,9848.6665828228,13
-0.046979683119643,-1.181291612206777,-1.181291612206777,13,1765015757,,False,14,bfd0da73,2025-12-06_05-09-17,786.2515802383423,10634.918163061142,72166,Rayyans-MacBook-Pro.local,127.0.0.1,10634.918163061142,14
-0.046979683119643,-1.2896129080985623,-1.2896129080985623,14,1765016535,,True,15,bfd0da73,2025-12-06_05-22-15,777.6516969203949,11412.569859981537,72166,Rayyans-MacBook-Pro.local,127.0.0.1,11412.569859981537,15
