val_sharpe,val_loss,train_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
-0.4041743097626956,-1.001122595749635,-1.001122595749635,0,1765028264,,False,1,95a485c4,2025-12-06_08-37-44,880.8063941001892,880.8063941001892,26368,Rayyans-MacBook-Pro.local,127.0.0.1,880.8063941001892,1
-0.5009375056933555,-1.1710424013760254,-1.1710424013760254,1,1765028967,,False,2,95a485c4,2025-12-06_08-49-27,703.2372839450836,1584.0436780452728,26368,Rayyans-MacBook-Pro.local,127.0.0.1,1584.0436780452728,2
-0.04008455406043436,-1.252306452106298,-1.252306452106298,2,1765029725,,False,3,95a485c4,2025-12-06_09-02-05,757.9195621013641,2341.963240146637,26368,Rayyans-MacBook-Pro.local,127.0.0.1,2341.963240146637,3
-0.4945849975674249,-1.192061031126069,-1.192061031126069,3,1765030465,,False,4,95a485c4,2025-12-06_09-14-25,739.7655880451202,3081.728828191757,26368,Rayyans-MacBook-Pro.local,127.0.0.1,3081.728828191757,4
-0.31583893540242225,-1.1538381748003503,-1.1538381748003503,4,1765031193,,False,5,95a485c4,2025-12-06_09-26-33,727.5703339576721,3809.2991621494293,26368,Rayyans-MacBook-Pro.local,127.0.0.1,3809.2991621494293,5
-0.3019079317258379,-1.243800431780624,-1.243800431780624,5,1765031918,,False,6,95a485c4,2025-12-06_09-38-38,725.3483901023865,4534.647552251816,26368,Rayyans-MacBook-Pro.local,127.0.0.1,4534.647552251816,6
-0.41205693015510586,-1.2483962241844082,-1.2483962241844082,6,1765032659,,False,7,95a485c4,2025-12-06_09-50-59,741.0172469615936,5275.664799213409,26368,Rayyans-MacBook-Pro.local,127.0.0.1,5275.664799213409,7
-0.4434968406090966,-1.260229996175536,-1.260229996175536,7,1765033429,,False,8,95a485c4,2025-12-06_10-03-49,769.8007562160492,6045.465555429459,26368,Rayyans-MacBook-Pro.local,127.0.0.1,6045.465555429459,8
0.09336799226144792,-1.2228400560558834,-1.2228400560558834,8,1765034222,,False,9,95a485c4,2025-12-06_10-17-02,793.2220320701599,6838.6875874996185,26368,Rayyans-MacBook-Pro.local,127.0.0.1,6838.6875874996185,9
-0.6674214121316031,-1.0944811577391091,-1.0944811577391091,9,1765035026,,True,10,95a485c4,2025-12-06_10-30-26,803.9137830734253,7642.601370573044,26368,Rayyans-MacBook-Pro.local,127.0.0.1,7642.601370573044,10
